Model,Accuracy,Recall,F1 Score,ROC-AUC
Isolation Forest,0.6682820774425496,0.5165887231977411,0.6316641266672961,0.7907975649919752
Random Forest,0.8704149055045426,0.9865437218741727,0.8934304236213079,0.9794192292420365
XGBoost,0.8743987756886751,0.9817347569046149,0.8959123896566649,0.9835250106720151
Hybrid,0.8226084632949522,0.9931836230477367,0.8604408940191685,0.9831071670033221
